index,occupation,energy_Eh,energy_eV,irrep
585,0.0,1.048828,28.54,
586,0.0,1.053043,28.6548,
587,0.0,1.053152,28.6577,
588,0.0,1.053325,28.6624,
589,0.0,1.053425,28.6652,
590,0.0,1.054275,28.6883,
591,0.0,1.054346,28.6902,
592,0.0,1.055479,28.721,
593,0.0,1.056564,28.7506,
594,0.0,1.056943,28.7609,
595,0.0,1.063804,28.9476,
596,0.0,1.063812,28.9478,
597,0.0,1.063819,28.948,
598,0.0,1.081371,29.4256,
599,0.0,1.081492,29.4289,
600,0.0,1.081538,29.4301,
601,0.0,1.081661,29.4335,
602,0.0,1.08172,29.4351,
603,0.0,1.089934,29.6586,
604,0.0,1.090284,29.6681,
605,0.0,1.09063,29.6775,
606,0.0,1.090948,29.6862,
607,0.0,1.113942,30.3119,
608,0.0,1.120486,30.49,
609,0.0,1.120777,30.4979,
610,0.0,1.120915,30.5017,
611,0.0,1.120948,30.5026,
612,0.0,1.12102,30.5045,
613,0.0,1.121048,30.5053,
614,0.0,1.121526,30.5183,
615,0.0,1.122047,30.5325,
616,0.0,1.12336,30.5682,
617,0.0,1.124911,30.6104,
618,0.0,1.126662,30.658,
619,0.0,1.130278,30.7564,
620,0.0,1.146805,31.2061,
621,0.0,1.146828,31.2068,
622,0.0,1.146834,31.2069,
623,0.0,1.17123,31.8708,
624,0.0,1.171254,31.8714,
625,0.0,1.171264,31.8717,
626,0.0,1.184528,32.2326,
627,0.0,1.184531,32.2327,
628,0.0,1.184551,32.2333,
629,0.0,1.184562,32.2336,
630,0.0,1.184593,32.2344,
631,0.0,1.188199,32.3325,
632,0.0,1.188206,32.3327,
633,0.0,1.188238,32.3336,
634,0.0,1.219235,33.1771,
635,0.0,1.219377,33.1809,
636,0.0,1.219854,33.1939,
637,0.0,1.220311,33.2063,
638,0.0,1.221371,33.2352,
639,0.0,1.222666,33.2704,
640,0.0,1.224425,33.3183,
641,0.0,1.226655,33.379,
642,0.0,1.226815,33.3833,
643,0.0,1.226918,33.3861,
644,0.0,1.226953,33.3871,
645,0.0,1.262934,34.3662,
646,0.0,1.262943,34.3664,
647,0.0,1.262951,34.3667,
648,0.0,1.26296,34.3669,
649,0.0,1.262975,34.3673,
650,0.0,1.290365,35.1126,
651,0.0,1.290694,35.1216,
652,0.0,1.290779,35.1239,
653,0.0,1.307946,35.591,
654,0.0,1.30797,35.5917,
655,0.0,1.307974,35.5918,
656,0.0,1.307991,35.5922,
657,0.0,1.308009,35.5927,
658,0.0,1.31746,35.8499,
659,0.0,1.317556,35.8525,
660,0.0,1.317761,35.8581,
661,0.0,1.317956,35.8634,
662,0.0,1.320099,35.9217,
663,0.0,1.320112,35.9221,
664,0.0,1.320116,35.9222,
665,0.0,1.320122,35.9224,
666,0.0,1.320145,35.923,
667,0.0,1.334657,36.3179,
668,0.0,1.334778,36.3212,
669,0.0,1.334816,36.3222,
670,0.0,1.334891,36.3242,
671,0.0,1.334974,36.3265,
672,0.0,1.345596,36.6155,
673,0.0,1.345602,36.6157,
674,0.0,1.345609,36.6159,
675,0.0,1.345666,36.6174,
676,0.0,1.345681,36.6179,
677,0.0,1.34855,36.6959,
678,0.0,1.348569,36.6964,
679,0.0,1.348573,36.6965,
680,0.0,1.365256,37.1505,
